Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
CR,330300,592469W,1980-01-01,12:02 AM,PENNSYLVANIA,Truck,30,Dark,Clear,2,57
CR,31306,593136Y,1980-01-16,03:40 PM,PENNSYLVANIA,Auto,40,Day,Clear,2,0
CR,310313,541364T,1980-01-11,07:56 PM,NEW JERSEY,Auto,12,Dark,Rain,1,3
CR,310312,530982M,1980-01-31,04:25 PM,PENNSYLVANIA,Auto,29,Dusk,Clear,1,0
ICG,71884,302324M,1980-01-31,09:45 AM,MISSISSIPPI,Auto,20,Day,Cloudy,4,52
ICG,71881,306702U,1980-01-25,08:30 AM,WISCONSIN,Auto,15,Day,Clear,1,10
ICG,71791,291390R,1980-01-01,04:10 AM,ILLINOIS,Truck,27,Dark,Fog,1,33
ICG,71789,303619H,1980-01-04,03:15 AM,ALABAMA,Auto,38,Dark,Clear,1,5
ICG,71787,303849J,1980-01-04,11:00 AM,MISSISSIPPI,Auto,35,Day,Cloudy,1,24
ICG,71786,303619H,1980-01-08,02:20 AM,ALABAMA,Auto,49,Dark,Fog,3,0
ICG,71785,303236F,1980-01-11,11:00 PM,LOUISIANA,Auto,50,Dark,Clear,3,111
ICG,71778,299753J,1980-01-18,06:00 AM,MISSISSIPPI,Auto,40,Dark,Cloudy,1,0
ICG,71777,309364J,1980-01-16,01:15 PM,MISSISSIPPI,Truck,75,Day,Clear,1,5
ICG,71776,607846F,1980-01-23,12:57 PM,IOWA,Auto,10,Day,Clear,1,5
ICG,71775,300230E,1980-01-25,07:05 AM,LOUISIANA,Auto,50,Day,Cloudy,2,1
ICG,71773,297508Y,1980-01-16,09:30 AM,TENNESSEE,Truck,50,Day,Rain,1,2
ICG,71772,297206W,1980-01-24,10:40 AM,KENTUCKY,Auto,45,Day,Clear,3,126
ICG,71771,NO-GXID,1980-01-21,02:00 PM,MISSISSIPPI,Auto,45,Day,Rain,1,0
ICG,71770,300462U,1980-01-30,12:50 AM,LOUISIANA,Auto,50,Dark,Clear,1,3
ICG,71769,294312U,1980-01-16,08:33 PM,ILLINOIS,Auto,42,Dark,Cloudy,1,4
RI,SRH13,600696B,1980-02-23,09:50 PM,ARKANSAS,Truck-trailer,38,Dark,Clear,3,85
RI,SRH11,595049C,1980-02-18,10:50 AM,KANSAS,Truck,25,Day,Cloudy,2,81
RI,SRH10,596855V,1980-02-11,07:00 AM,OKLAHOMA,Other,20,Dark,Fog,2,38
RI,MK80217,604731B,1980-02-07,01:10 PM,KANSAS,Auto,27,Day,Snow,1,10
RI,MK80202,605747B,1980-02-02,03:44 PM,IOWA,Auto,29,Day,Cloudy,3,87
RI,ILAA80944,606971P,1980-02-28,08:00 PM,ILLINOIS,Auto,20,Dark,Clear,2,72
RI,ILAA80943,608310D,1980-02-28,02:15 AM,ILLINOIS,Auto,25,Dark,Snow,1,0
RI,ILAA80940,608235U,1980-02-25,04:30 PM,ILLINOIS,Auto,20,Day,Clear,1,10
RI,ILAA80937,604344J,1980-02-16,07:50 AM,IOWA,Truck,3,Day,Clear,2,17
RI,ILAA80936,608318H,1980-02-15,07:30 PM,ILLINOIS,Auto,28,Dark,Cloudy,1,1
RI,ILAA80934,608254Y,1980-02-11,07:22 PM,ILLINOIS,Auto,15,Dusk,Clear,2,5
RI,ILAA80933,607594G,1980-02-11,10:10 PM,IOWA,Auto,0,Dark,Clear,2,20
SLSF,G4A25,671467B,1980-02-05,01:00 PM,OKLAHOMA,Other,45,Day,Clear,1,2
SLSF,G4A23,668453P,1980-02-02,03:25 PM,OKLAHOMA,Truck,42,Day,Clear,5,90
SLSF,G3A49,672003A,1980-02-22,06:05 PM,OKLAHOMA,Auto,57,Dusk,Clear,1,5
SLSF,G3A46,672928L,1980-02-29,08:25 AM,TEXAS,Truck,60,Day,Cloudy,1,30
SLSF,G3A43,672168X,1980-02-28,06:45 AM,TEXAS,Auto,26,Day,Clear,1,11
SLSF,G3A40,597738D,1980-02-23,10:45 AM,TEXAS,Auto,50,Day,Clear,3,20
SLSF,G3A39,671507W,1980-02-22,09:30 PM,TEXAS,Motorcycle,75,Dark,Clear,1,2
