Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
SOO,9501H0063,385450K,1995-01-26,06:35 AM,IOWA,Auto,23,Dark,Fog,2,41
SOO,9501H0064,690343J,1995-01-28,06:50 PM,NORTH DAKOTA,Truck,20,Dark,Cloudy,2,101
SP,A0025,750099G,1995-01-04,01:00 PM,CALIFORNIA,Truck,50,Day,Cloudy,0,1
SP,A0055,751527E,1995-01-07,06:30 PM,CALIFORNIA,Truck,50,Dark,Rain,1,5
SP,A0285,752424H,1995-01-27,06:30 PM,CALIFORNIA,Auto,50,Dark,Clear,1,0
SP,D0035,750642H,1995-01-04,05:04 PM,CALIFORNIA,Auto,32,Dark,Snow,5,78
SP,E0335,NOTASGN,1995-01-24,09:30 AM,CALIFORNIA,Truck-trailer,59,Dark,Cloudy,2,0
SP,E0385,NOTASGN,1995-01-27,07:40 PM,CALIFORNIA,Truck-trailer,65,Dark,Clear,2,8
SP,E0635,NOTASGN,1995-01-20,07:30 PM,CALIFORNIA,Auto,68,Dark,Clear,2,9
SP,F0115,741122A,1995-01-11,05:45 PM,ARIZONA,Auto,60,Dark,Cloudy,2,31
SP,G0055,427690L,1995-01-24,12:01 PM,TEXAS,Auto,55,Day,Cloudy,2,30
SP,G0065,763825N,1995-01-25,02:00 PM,TEXAS,Auto,60,Day,Rain,3,77
SP,G0085,746284U,1995-01-31,03:02 AM,TEXAS,Auto,50,Dark,Clear,2,23
SP,H0175,743826R,1995-01-14,12:01 PM,TEXAS,Truck,65,Day,Clear,3,28
SP,H0445,755970S,1995-01-28,02:10 AM,LOUISIANA,Truck,33,Dark,Clear,2,58
SP,H0465,743658M,1995-01-30,05:20 PM,TEXAS,Auto,55,Day,Clear,1,71
SP,J0015,762525W,1995-01-02,10:15 PM,TEXAS,Truck-trailer,45,Dark,Cloudy,2,1
SP,J0045,762484U,1995-01-11,03:11 PM,TEXAS,Auto,75,Day,Clear,0,1
SP,J0095,755911P,1995-01-14,10:00 AM,TEXAS,Auto,50,Day,Cloudy,0,1
SP,J0145,762563F,1995-01-19,08:05 PM,TEXAS,Auto,55,Dark,Clear,2,19
SP,J0175,758012R,1995-01-29,09:10 PM,LOUISIANA,Truck,40,Dark,Cloudy,5,32
SP,Q0015,740980D,1995-01-11,07:05 PM,NEVADA,Auto,35,Dark,Clear,1,5
SP,U0035,740889K,1995-01-13,10:00 PM,NEVADA,Truck-trailer,22,Dark,Fog,3,72
SSW,M0015,436228G,1995-01-04,05:43 PM,ILLINOIS,Truck,22,Dark,Clear,2,110
SSW,V0045,789584C,1995-01-19,09:25 AM,TEXAS,Truck,55,Day,Clear,3,37
SSW,V0065,789797M,1995-01-20,02:20 PM,TEXAS,Auto,1,Day,Clear,0,1
SSW,W0025,789706E,1995-01-03,09:27 AM,ARKANSAS,Truck,38,Day,Rain,3,17
SSW,W0035,789040E,1995-01-03,04:02 PM,ARKANSAS,Auto,35,Day,Cloudy,8,0
SSW,W0085,787828C,1995-01-16,10:50 PM,ARKANSAS,Truck-trailer,42,Dark,Clear,2,40
SSW,W0095,600706E,1995-01-18,08:30 PM,ARKANSAS,Truck,50,Dark,Rain,3,48
SSW,Y0015,596169W,1995-01-01,11:53 AM,TEXAS,Auto,26,Day,Clear,4,36
ST,S95003,366005W,1995-01-16,10:40 AM,MAINE,Auto,45,Day,Cloudy,2,16
TCCX,10595,628166T,1995-01-05,03:23 PM,FLORIDA,Other,80,Day,Clear,1,4
TCCX,10795,628130K,1995-01-07,10:15 PM,FLORIDA,Auto,75,Dark,Cloudy,1,4
TSBY,TSB36695,548156R,1995-01-10,10:40 AM,MICHIGAN,Auto,28,Day,Cloudy,2,4
