Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
NSCR,NS2010016,082810S,2010-09-01,06:46 AM,MINNESOTA,Pedestrian,60,Dawn,Clear,1,4
UP,0310TC003,183812K,2010-03-17,12:50 AM,MINNESOTA,Auto,43,Dark,Fog,2,0
BNSF,TC0310201,082370D,2010-03-10,07:50 AM,MINNESOTA,Truck-trailer,35,Day,Rain,3,109
BNSF,SF0210202,665622P,2010-02-04,09:55 PM,MISSOURI,Auto,39,Dark,Rain,1,0
BNSF,SF0210201,667850J,2010-02-04,07:15 PM,MISSOURI,Auto,33,Dark,Sleet,5,99
UP,1210KC005,605598C,2010-12-10,04:02 AM,MISSOURI,Pick-up truck,20,Dark,Clear,2,93
NS,40918,483720B,2010-12-27,11:50 AM,MISSOURI,Pick-up truck,21,Day,Clear,2,0
KCS,10122201,330031J,2010-12-22,02:53 PM,MISSOURI,Truck-trailer,33,Day,Clear,4,106
KCS,10081001,293467H,2010-08-10,11:02 AM,MISSOURI,Pick-up truck,90,Day,Clear,1,14
NS,38091,916946M,2010-01-14,12:10 PM,MISSOURI,Van,45,Day,Cloudy,3,6
BNSF,NE0110201,095211J,2010-01-18,11:25 AM,MISSOURI,Truck-trailer,33,Day,Cloudy,4,150
UP,0210KC011,433273R,2010-02-22,10:10 AM,MISSOURI,Truck-trailer,18,Day,Cloudy,1,34
BNSF,SF0210200,668367T,2010-02-05,01:56 AM,MISSOURI,Pedestrian,32,Dark,Cloudy,2,80
KCS,10042902,330118A,2010-04-29,11:47 AM,MISSOURI,Auto,84,Day,Clear,1,13
ATK,117159,441995T,2010-09-17,04:50 PM,MISSOURI,Van,82,Day,Clear,1,3
BNSF,SF0810200,673295C,2010-08-13,11:57 PM,MISSOURI,Auto,81,Dark,Clear,3,96
KCS,10050801,330076R,2010-05-08,09:15 PM,MISSOURI,Pick-up truck,62,Dark,Clear,5,126
UP,0910SL002,920396V,2010-09-07,01:58 PM,MISSOURI,Truck-trailer,89,Day,Clear,2,105
CMR,20101115F,596317N,2010-11-15,10:15 AM,MISSOURI,Auto,45,Day,Clear,1,7
BNSF,SF0110203,665566K,2010-01-14,06:00 PM,MISSOURI,Auto,44,Dark,Cloudy,2,89
ATK,117084,424841N,2010-09-10,06:43 AM,MISSOURI,Van,65,Day,Rain,2,7
UP,1010KC005,429532T,2010-10-10,01:01 PM,MISSOURI,Truck-trailer,82,Day,Cloudy,2,35
UP,0810LK029,789103G,2010-08-31,05:26 AM,MISSOURI,Auto,86,Dawn,Clear,0,1
BNSF,CH1110200,483818E,2010-11-13,04:05 PM,MISSOURI,Auto,45,Day,Clear,4,17
BNSF,SF0910200,673027S,2010-09-03,08:39 PM,MISSOURI,Truck,65,Dark,Clear,2,86
